Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,13209,7650,5559,11543,1497,2488,1182,297,0.579151,0.834677,0.215542,0.683823,,,2.0150393888756266,2.934219495569189
INDEL,PASS,13209,7650,5559,11543,1497,2488,1182,297,0.579151,0.834677,0.215542,0.683823,,,2.0150393888756266,2.934219495569189
SNP,ALL,77485,75055,2430,86608,654,10850,212,267,0.9686389999999999,0.991367,0.125277,0.9798709999999999,2.3023136904001023,2.1336203777407916,1.7915810718275849,1.8123132874399273
SNP,PASS,77485,75055,2430,86608,654,10850,212,267,0.9686389999999999,0.991367,0.125277,0.9798709999999999,2.3023136904001023,2.1336203777407916,1.7915810718275849,1.8123132874399273
