Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,13209,9722,3487,14240,824,3604,524,272,0.736013,0.9225270000000001,0.25309,0.818783,,,2.0150393888756266,1.867030965391621
INDEL,PASS,13209,9722,3487,14240,824,3604,524,272,0.736013,0.9225270000000001,0.25309,0.818783,,,2.0150393888756266,1.867030965391621
SNP,ALL,77485,0,77485,0,0,0,0,0,0.0,0.0,0.0,,2.3023136904001023,,1.7915810718275849,
SNP,PASS,77485,0,77485,0,0,0,0,0,0.0,0.0,0.0,,2.3023136904001023,,1.7915810718275849,
