Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,13209,8703,4506,11817,796,2334,472,285,0.6588689999999999,0.91606,0.197512,0.766465,,,2.0150393888756266,1.3022117831278137
INDEL,PASS,13209,8618,4591,11600,789,2207,471,281,0.6524340000000001,0.9160010000000001,0.19025899999999998,0.762072,,,2.0150393888756266,1.259737717752985
SNP,ALL,77485,68434,9051,76663,1773,6403,1640,72,0.8831899999999999,0.974765,0.083521,0.9267209999999999,2.3023136904001023,2.2180116664568383,1.7915810718275849,1.586821496084256
SNP,PASS,77485,68241,9244,74224,1728,4203,1631,70,0.880699,0.9753219999999999,0.056625999999999996,0.925599,2.3023136904001023,2.2551409654930503,1.7915810718275849,1.5050982510635424
