Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,13209,9445,3764,15087,2009,3637,1262,591,0.715043,0.824541,0.24106799999999998,0.765898,,,2.0150393888756266,3.63204842306467
INDEL,PASS,13209,9445,3764,15087,2009,3637,1262,591,0.715043,0.824541,0.24106799999999998,0.765898,,,2.0150393888756266,3.63204842306467
SNP,ALL,77485,87,77398,431,22,321,1,19,0.001123,0.8,0.74478,0.002242,2.3023136904001023,0.6901960784313725,1.7915810718275849,1.912162162162162
SNP,PASS,77485,87,77398,431,22,321,1,19,0.001123,0.8,0.74478,0.002242,2.3023136904001023,0.6901960784313725,1.7915810718275849,1.912162162162162
