Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,13209,10077,3132,23737,4530,9220,975,1133,0.762889,0.687952,0.388423,0.723485,,,2.0150393888756266,5.514293567894447
INDEL,PASS,13209,9933,3276,19537,3238,6456,949,945,0.751987,0.7524649999999999,0.33045,0.7522260000000001,,,2.0150393888756266,4.3996678660393025
SNP,ALL,77485,76554,931,143961,16392,50976,284,822,0.987985,0.823714,0.354096,0.898402,2.3023136904001023,1.5572458108491907,1.7915810718275849,3.710888364779874
SNP,PASS,77485,75984,1501,102682,6298,20361,273,442,0.9806290000000001,0.9234950000000001,0.198292,0.951204,2.3023136904001023,1.931117135111999,1.7915810718275849,2.4230820547031353
